what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382583636585
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382583641858
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382583642297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583645054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583648721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583660521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583662526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583665080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583665995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382583678995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382583705766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382583707235
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1382583713505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382583714127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382583715037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382583715416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1382583716518
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1382583717016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382583717934
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382583721979
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382583722380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583724259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583729834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583735679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583739957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382583744597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583745111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583763425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382583765030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583766055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583769297
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382583772614
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382583773042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583774604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382583780569
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382583784049
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382583784411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583785897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583792429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583798224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583802658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382583805772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583806206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583823316
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382583824699
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382583827499
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382583827867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583830651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583837230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583847837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583874897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382583878182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583878628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583889684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382583894662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583895119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583909574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382583910626
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382583913287
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382583913683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583915068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382583926444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1382583935367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382583935826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583936532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382583997693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382583998236
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382584001313
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382584001734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584004108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584007633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382584009535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584013543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584014965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1382584020521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382584021074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584021491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584023172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584025685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584028433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382584029535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584036106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584046937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1382584047945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382584048255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584048631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382584064568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382584066254
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382584071711
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382584072097
