what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552203583
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382552204906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382552205460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552219905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552238768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382552240727
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382552253598
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1382552255613
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382552258413
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382552259820
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382552262373
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382552263532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382552264101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552273311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552304030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382552305930
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1382552315362
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382552316291
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382552319350
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382552320505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382552321055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552327639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552362554
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382552363855
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1382552368745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552369368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552369901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382552369912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552371807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552372183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382552372191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552373407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552404657
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382552406093
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382552408966
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382552410005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382552410564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382552429954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552439025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552496706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552528691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552539396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382552546260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552548317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552556573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552686090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552867189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382552897337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566687795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566690997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566695369
