what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645408964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1382645409004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382645410520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645411861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382645418354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645419806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382645420361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645432584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645611786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645746583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645753423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1382645753464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645754758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382645756556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645757889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1382645758517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382645758935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645761076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382645776289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645777505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645779076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382645780176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645784840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382645785374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645792820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645802188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645808478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382645810862
