what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644669938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644675165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644681501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644692568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382644703378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382644711300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382644717081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382644719425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382644721784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382644724083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382644726999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382644727782
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1382644728455
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382644729515
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1382644731137
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1382644731317
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1382644731560
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1382644732013
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1382644737908
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.commands.Inspect",1382644746399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644746445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644760411
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.commands.Inspect",1382644776920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644776965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644781785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382644789176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644792331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644812343
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.commands.Inspect",1382644818330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644818375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382644822226
