what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1382670039629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1382670042156
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382670043870
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382670047055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670048311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670054062
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1382670063386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382670064735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382670065333
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382670068472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670069726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670077191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670087957
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1382670095230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382670097736
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382670101271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670102447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670105890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670112323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670118880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382670130040
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382670133761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670134945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670137812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670142876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382670147345
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382670150626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670151823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670153756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670157191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670162445
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1382670165220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670166391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382670168864
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382670172027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670173201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670177070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670182749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670187388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1382670191327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382670193761
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382670196833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670198126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670201109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670202993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670204753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382670207103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382672651081
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382672654647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382672656338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382672679971
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382672680012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382673035604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382673036677
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382673039678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382673041602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382673061410
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1382673061433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674142765
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382674143612
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1382674159423
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1382674159803
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1382674160172
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1382674160488
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1382674160961
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findPrevious",1382674162266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382674185415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382674192092
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382674195115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674196237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674200019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1382674201389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1382674201825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382674202976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674226325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674226918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674228176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674230335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674231867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674233864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674235136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674237783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674239434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674241492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674243633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674245471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674247273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674249712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674291997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674293364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674294561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674842710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674851174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674853267
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382674854191
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1382674856509
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1382674856532
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1382674856602
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1382674856653
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1382674856725
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1382674856785
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1382674856808
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1382705879157
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1382705879157
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1382705879204
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1382705879235
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1382705879251
