what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1381694271486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381694720346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381694723265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381694748979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1381694751517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381694759265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381694774373
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381694777582
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381694777854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381694831697
error,log,,,"Internal Error",1381694848602
error,log,,,"Internal Error",1381694848604
error,log,,,"Internal Error",1381694848607
error,log,,,"Internal Error",1381694848609
error,log,,,"Internal Error",1381694848612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381694882486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381694987570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381694988305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695002997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695015710
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1381695019183
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1381695032086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695046805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695046954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695063388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695072013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695073560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695133920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1381695144827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381695147714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1381695148429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695149627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695156325
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1381695163947
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1381695166978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381695167623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381695169089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695192064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695220410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695227986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695236457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695302755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695323282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695329078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695338271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1381695341535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695345947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381695346135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381695352476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381695354546
